# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1680693599267921 240443 MANAGER START
1680693599271433 240443 CATEGORY default MAX {}
1680693599271447 240443 CATEGORY default MIN {}
1680693599271453 240443 CATEGORY default FIRST MIN_WASTE {}
1680693599273626 240443 TASK 77 WAITING default FIRST_RESOURCES {}
1680693599273664 240443 TASK 78 WAITING default FIRST_RESOURCES {}
1680693599273690 240443 TASK 79 WAITING default FIRST_RESOURCES {}
1680693599273717 240443 TASK 80 WAITING default FIRST_RESOURCES {}
1680693599273744 240443 TASK 81 WAITING default FIRST_RESOURCES {}
1680693599273769 240443 TASK 82 WAITING default FIRST_RESOURCES {}
1680693599273793 240443 TASK 83 WAITING default FIRST_RESOURCES {}
1680693599273820 240443 TASK 84 WAITING default FIRST_RESOURCES {}
1680693599273851 240443 TASK 85 WAITING default FIRST_RESOURCES {}
1680693599273876 240443 TASK 86 WAITING default FIRST_RESOURCES {}
1680693599273902 240443 TASK 87 WAITING default FIRST_RESOURCES {}
1680693599273930 240443 TASK 88 WAITING default FIRST_RESOURCES {}
1680693599273969 240443 TASK 89 WAITING default FIRST_RESOURCES {}
1680693599273992 240443 TASK 90 WAITING default FIRST_RESOURCES {}
1680693599274018 240443 TASK 91 WAITING default FIRST_RESOURCES {}
1680693599274045 240443 TASK 92 WAITING default FIRST_RESOURCES {}
1680693599274068 240443 TASK 93 WAITING default FIRST_RESOURCES {}
1680693599274092 240443 TASK 94 WAITING default FIRST_RESOURCES {}
1680693599274121 240443 TASK 95 WAITING default FIRST_RESOURCES {}
1680693599274148 240443 TASK 96 WAITING default FIRST_RESOURCES {}
1680693599274194 240443 TASK 97 WAITING default FIRST_RESOURCES {}
1680693599274221 240443 TASK 98 WAITING default FIRST_RESOURCES {}
1680693599274248 240443 TASK 99 WAITING default FIRST_RESOURCES {}
1680693599274272 240443 TASK 100 WAITING default FIRST_RESOURCES {}
1680693599274298 240443 TASK 101 WAITING default FIRST_RESOURCES {}
1680693599274322 240443 TASK 102 WAITING default FIRST_RESOURCES {}
1680693599274348 240443 TASK 103 WAITING default FIRST_RESOURCES {}
1680693599274374 240443 TASK 104 WAITING default FIRST_RESOURCES {}
1680693599274401 240443 TASK 105 WAITING default FIRST_RESOURCES {}
1680693599274427 240443 TASK 106 WAITING default FIRST_RESOURCES {}
1680693599274454 240443 TASK 107 WAITING default FIRST_RESOURCES {}
1680693599274480 240443 TASK 108 WAITING default FIRST_RESOURCES {}
1680693599274504 240443 TASK 109 WAITING default FIRST_RESOURCES {}
1680693599274530 240443 TASK 110 WAITING default FIRST_RESOURCES {}
1680693599274557 240443 TASK 111 WAITING default FIRST_RESOURCES {}
1680693599274584 240443 TASK 112 WAITING default FIRST_RESOURCES {}
1680693599274607 240443 TASK 113 WAITING default FIRST_RESOURCES {}
1680693599274650 240443 TASK 114 WAITING default FIRST_RESOURCES {}
1680693599274677 240443 TASK 115 WAITING default FIRST_RESOURCES {}
1680693599274706 240443 TASK 116 WAITING default FIRST_RESOURCES {}
1680693599274731 240443 TASK 117 WAITING default FIRST_RESOURCES {}
1680693599274757 240443 TASK 118 WAITING default FIRST_RESOURCES {}
1680693599274784 240443 TASK 119 WAITING default FIRST_RESOURCES {}
1680693599274811 240443 TASK 120 WAITING default FIRST_RESOURCES {}
1680693599274835 240443 TASK 121 WAITING default FIRST_RESOURCES {}
1680693599274862 240443 TASK 122 WAITING default FIRST_RESOURCES {}
1680693599274889 240443 TASK 123 WAITING default FIRST_RESOURCES {}
1680693599274928 240443 TASK 124 WAITING default FIRST_RESOURCES {}
1680693599274961 240443 TASK 125 WAITING default FIRST_RESOURCES {}
1680693599274986 240443 TASK 126 WAITING default FIRST_RESOURCES {}
1680693599275015 240443 TASK 127 WAITING default FIRST_RESOURCES {}
1680693599275041 240443 TASK 128 WAITING default FIRST_RESOURCES {}
1680693599275065 240443 TASK 129 WAITING default FIRST_RESOURCES {}
1680693599275090 240443 TASK 130 WAITING default FIRST_RESOURCES {}
1680693599275116 240443 TASK 131 WAITING default FIRST_RESOURCES {}
1680693599275154 240443 TASK 132 WAITING default FIRST_RESOURCES {}
1680693599275177 240443 TASK 133 WAITING default FIRST_RESOURCES {}
1680693599275202 240443 TASK 134 WAITING default FIRST_RESOURCES {}
1680693599275229 240443 TASK 135 WAITING default FIRST_RESOURCES {}
1680693599275256 240443 TASK 136 WAITING default FIRST_RESOURCES {}
1680693599275279 240443 TASK 137 WAITING default FIRST_RESOURCES {}
1680693599275308 240443 TASK 138 WAITING default FIRST_RESOURCES {}
1680693599275335 240443 TASK 139 WAITING default FIRST_RESOURCES {}
1680693599275361 240443 TASK 140 WAITING default FIRST_RESOURCES {}
1680693599275385 240443 TASK 141 WAITING default FIRST_RESOURCES {}
1680693599275411 240443 TASK 142 WAITING default FIRST_RESOURCES {}
1680693599275437 240443 TASK 143 WAITING default FIRST_RESOURCES {}
1680693599275467 240443 TASK 144 WAITING default FIRST_RESOURCES {}
1680693599275491 240443 TASK 145 WAITING default FIRST_RESOURCES {}
1680693599275517 240443 TASK 146 WAITING default FIRST_RESOURCES {}
1680693599275543 240443 TASK 147 WAITING default FIRST_RESOURCES {}
1680693599275580 240443 TASK 148 WAITING default FIRST_RESOURCES {}
1680693599275602 240443 TASK 149 WAITING default FIRST_RESOURCES {}
1680693599275652 240443 TASK 150 WAITING default FIRST_RESOURCES {}
1680693599275683 240443 TASK 151 WAITING default FIRST_RESOURCES {}
1680693599275710 240443 TASK 152 WAITING default FIRST_RESOURCES {}
1680693599275735 240443 TASK 153 WAITING default FIRST_RESOURCES {}
1680693599275763 240443 TASK 154 WAITING default FIRST_RESOURCES {}
1680693599275790 240443 TASK 155 WAITING default FIRST_RESOURCES {}
1680693599275817 240443 TASK 156 WAITING default FIRST_RESOURCES {}
1680693599275842 240443 TASK 157 WAITING default FIRST_RESOURCES {}
1680693599275869 240443 TASK 158 WAITING default FIRST_RESOURCES {}
1680693599275896 240443 TASK 159 WAITING default FIRST_RESOURCES {}
1680693599275933 240443 TASK 160 WAITING default FIRST_RESOURCES {}
1680693599275969 240443 TASK 161 WAITING default FIRST_RESOURCES {}
1680693599275994 240443 TASK 162 WAITING default FIRST_RESOURCES {}
1680693599276033 240443 TASK 163 WAITING default FIRST_RESOURCES {}
1680693599276056 240443 TASK 164 WAITING default FIRST_RESOURCES {}
1680693599276085 240443 TASK 165 WAITING default FIRST_RESOURCES {}
1680693599276112 240443 TASK 166 WAITING default FIRST_RESOURCES {}
1680693599276138 240443 TASK 167 WAITING default FIRST_RESOURCES {}
1680693599276161 240443 TASK 168 WAITING default FIRST_RESOURCES {}
1680693599276191 240443 TASK 169 WAITING default FIRST_RESOURCES {}
1680693599276218 240443 TASK 170 WAITING default FIRST_RESOURCES {}
1680693599276245 240443 TASK 171 WAITING default FIRST_RESOURCES {}
1680693599276268 240443 TASK 172 WAITING default FIRST_RESOURCES {}
1680693599276295 240443 TASK 173 WAITING default FIRST_RESOURCES {}
1680693599276321 240443 TASK 174 WAITING default FIRST_RESOURCES {}
1680693599276347 240443 TASK 175 WAITING default FIRST_RESOURCES {}
1680693599276371 240443 TASK 176 WAITING default FIRST_RESOURCES {}
1680693599276409 240443 TASK 177 WAITING default FIRST_RESOURCES {}
1680693599276435 240443 TASK 178 WAITING default FIRST_RESOURCES {}
1680693599276463 240443 TASK 179 WAITING default FIRST_RESOURCES {}
1680693599276487 240443 TASK 180 WAITING default FIRST_RESOURCES {}
1680693599276514 240443 TASK 181 WAITING default FIRST_RESOURCES {}
1680693599276544 240443 TASK 182 WAITING default FIRST_RESOURCES {}
1680693599276572 240443 TASK 183 WAITING default FIRST_RESOURCES {}
1680693599276597 240443 TASK 184 WAITING default FIRST_RESOURCES {}
1680693599276627 240443 TASK 185 WAITING default FIRST_RESOURCES {}
1680693599276655 240443 TASK 186 WAITING default FIRST_RESOURCES {}
1680693599276682 240443 TASK 187 WAITING default FIRST_RESOURCES {}
1680693599276707 240443 TASK 188 WAITING default FIRST_RESOURCES {}
1680693599276733 240443 TASK 189 WAITING default FIRST_RESOURCES {}
1680693599276762 240443 TASK 190 WAITING default FIRST_RESOURCES {}
1680693599276791 240443 TASK 191 WAITING default FIRST_RESOURCES {}
1680693599276857 240443 TASK 192 WAITING default FIRST_RESOURCES {}
1680693599276883 240443 TASK 193 WAITING default FIRST_RESOURCES {}
1680693599276908 240443 TASK 194 WAITING default FIRST_RESOURCES {}
1680693599276935 240443 TASK 195 WAITING default FIRST_RESOURCES {}
1680693599276959 240443 TASK 196 WAITING default FIRST_RESOURCES {}
1680693599276986 240443 TASK 197 WAITING default FIRST_RESOURCES {}
1680693599277014 240443 TASK 198 WAITING default FIRST_RESOURCES {}
1680693599277038 240443 TASK 199 WAITING default FIRST_RESOURCES {}
1680693599277077 240443 TASK 200 WAITING default FIRST_RESOURCES {}
1680693599277103 240443 TASK 201 WAITING default FIRST_RESOURCES {}
1680693599277127 240443 TASK 202 WAITING default FIRST_RESOURCES {}
1680693599277153 240443 TASK 203 WAITING default FIRST_RESOURCES {}
1680693599277200 240443 TASK 204 WAITING default FIRST_RESOURCES {}
1680693599277222 240443 TASK 205 WAITING default FIRST_RESOURCES {}
1680693599277245 240443 TASK 206 WAITING default FIRST_RESOURCES {}
1680693599277269 240443 TASK 207 WAITING default FIRST_RESOURCES {}
1680693599277291 240443 TASK 208 WAITING default FIRST_RESOURCES {}
1680693599277317 240443 TASK 209 WAITING default FIRST_RESOURCES {}
1680693599277341 240443 TASK 210 WAITING default FIRST_RESOURCES {}
1680693599277369 240443 TASK 211 WAITING default FIRST_RESOURCES {}
1680693599277391 240443 TASK 212 WAITING default FIRST_RESOURCES {}
1680693599277414 240443 TASK 213 WAITING default FIRST_RESOURCES {}
1680693599277451 240443 TASK 214 WAITING default FIRST_RESOURCES {}
1680693599277476 240443 TASK 215 WAITING default FIRST_RESOURCES {}
1680693599277511 240443 TASK 216 WAITING default FIRST_RESOURCES {}
1680693599277536 240443 TASK 217 WAITING default FIRST_RESOURCES {}
1680693599277563 240443 TASK 218 WAITING default FIRST_RESOURCES {}
1680693599277589 240443 TASK 219 WAITING default FIRST_RESOURCES {}
1680693599277613 240443 TASK 220 WAITING default FIRST_RESOURCES {}
1680693599277655 240443 TASK 221 WAITING default FIRST_RESOURCES {}
1680693599277682 240443 TASK 222 WAITING default FIRST_RESOURCES {}
1680693599277718 240443 TASK 223 WAITING default FIRST_RESOURCES {}
1680693599277746 240443 TASK 224 WAITING default FIRST_RESOURCES {}
1680693599277776 240443 TASK 225 WAITING default FIRST_RESOURCES {}
1680693599277807 240443 TASK 226 WAITING default FIRST_RESOURCES {}
1680693599277831 240443 TASK 227 WAITING default FIRST_RESOURCES {}
1680693599277861 240443 TASK 228 WAITING default FIRST_RESOURCES {}
1680693599277888 240443 TASK 229 WAITING default FIRST_RESOURCES {}
1680693599277915 240443 TASK 230 WAITING default FIRST_RESOURCES {}
1680693599277939 240443 TASK 231 WAITING default FIRST_RESOURCES {}
1680693599277966 240443 TASK 232 WAITING default FIRST_RESOURCES {}
1680693599277992 240443 TASK 233 WAITING default FIRST_RESOURCES {}
1680693599278019 240443 TASK 234 WAITING default FIRST_RESOURCES {}
1680693599278044 240443 TASK 235 WAITING default FIRST_RESOURCES {}
1680693599278086 240443 TASK 236 WAITING default FIRST_RESOURCES {}
1680693599278114 240443 TASK 237 WAITING default FIRST_RESOURCES {}
1680693599278141 240443 TASK 238 WAITING default FIRST_RESOURCES {}
1680693599278165 240443 TASK 239 WAITING default FIRST_RESOURCES {}
1680693599278191 240443 TASK 240 WAITING default FIRST_RESOURCES {}
1680693599278218 240443 TASK 241 WAITING default FIRST_RESOURCES {}
1680693599278245 240443 TASK 242 WAITING default FIRST_RESOURCES {}
1680693599278269 240443 TASK 243 WAITING default FIRST_RESOURCES {}
1680693599278295 240443 TASK 244 WAITING default FIRST_RESOURCES {}
1680693599278334 240443 TASK 245 WAITING default FIRST_RESOURCES {}
1680693599278361 240443 TASK 246 WAITING default FIRST_RESOURCES {}
1680693599278385 240443 TASK 247 WAITING default FIRST_RESOURCES {}
1680693599278412 240443 TASK 248 WAITING default FIRST_RESOURCES {}
1680693599278450 240443 TASK 249 WAITING default FIRST_RESOURCES {}
1680693599278477 240443 TASK 250 WAITING default FIRST_RESOURCES {}
1680693599278501 240443 TASK 251 WAITING default FIRST_RESOURCES {}
1680693599278528 240443 TASK 252 WAITING default FIRST_RESOURCES {}
1680693599278570 240443 TASK 253 WAITING default FIRST_RESOURCES {}
1680693599278597 240443 TASK 254 WAITING default FIRST_RESOURCES {}
1680693599278626 240443 TASK 255 WAITING default FIRST_RESOURCES {}
1680693599278666 240443 TASK 256 WAITING default FIRST_RESOURCES {}
1680693599278693 240443 TASK 257 WAITING default FIRST_RESOURCES {}
1680693599278720 240443 TASK 258 WAITING default FIRST_RESOURCES {}
1680693599278745 240443 TASK 259 WAITING default FIRST_RESOURCES {}
1680693599278771 240443 TASK 260 WAITING default FIRST_RESOURCES {}
1680693599278798 240443 TASK 261 WAITING default FIRST_RESOURCES {}
1680693599278824 240443 TASK 262 WAITING default FIRST_RESOURCES {}
1680693599278848 240443 TASK 263 WAITING default FIRST_RESOURCES {}
1680693599278874 240443 TASK 264 WAITING default FIRST_RESOURCES {}
1680693599278902 240443 TASK 265 WAITING default FIRST_RESOURCES {}
1680693599278946 240443 TASK 266 WAITING default FIRST_RESOURCES {}
1680693599278969 240443 TASK 267 WAITING default FIRST_RESOURCES {}
1680693599278996 240443 TASK 268 WAITING default FIRST_RESOURCES {}
1680693599279025 240443 TASK 269 WAITING default FIRST_RESOURCES {}
1680693599279052 240443 TASK 270 WAITING default FIRST_RESOURCES {}
1680693599279076 240443 TASK 271 WAITING default FIRST_RESOURCES {}
1680693599279101 240443 TASK 272 WAITING default FIRST_RESOURCES {}
1680693599279139 240443 TASK 273 WAITING default FIRST_RESOURCES {}
1680693599279167 240443 TASK 274 WAITING default FIRST_RESOURCES {}
1680693599279191 240443 TASK 275 WAITING default FIRST_RESOURCES {}
1680693599279218 240443 TASK 276 WAITING default FIRST_RESOURCES {}
1680693599279246 240443 TASK 277 WAITING default FIRST_RESOURCES {}
1680693599279273 240443 TASK 278 WAITING default FIRST_RESOURCES {}
1680693599279297 240443 TASK 279 WAITING default FIRST_RESOURCES {}
1680693599279324 240443 TASK 280 WAITING default FIRST_RESOURCES {}
1680693599279351 240443 TASK 281 WAITING default FIRST_RESOURCES {}
1680693599279377 240443 TASK 282 WAITING default FIRST_RESOURCES {}
1680693599279402 240443 TASK 283 WAITING default FIRST_RESOURCES {}
1680693599279429 240443 TASK 284 WAITING default FIRST_RESOURCES {}
1680693599279456 240443 TASK 285 WAITING default FIRST_RESOURCES {}
1680693599279484 240443 TASK 286 WAITING default FIRST_RESOURCES {}
1680693599279512 240443 TASK 287 WAITING default FIRST_RESOURCES {}
1680693599279552 240443 TASK 288 WAITING default FIRST_RESOURCES {}
1680693599279583 240443 TASK 289 WAITING default FIRST_RESOURCES {}
1680693599279606 240443 TASK 290 WAITING default FIRST_RESOURCES {}
1680693599279659 240443 TASK 291 WAITING default FIRST_RESOURCES {}
1680693599279686 240443 TASK 292 WAITING default FIRST_RESOURCES {}
1680693599279714 240443 TASK 293 WAITING default FIRST_RESOURCES {}
1680693599279742 240443 TASK 294 WAITING default FIRST_RESOURCES {}
1680693599279770 240443 TASK 295 WAITING default FIRST_RESOURCES {}
1680693599279797 240443 TASK 296 WAITING default FIRST_RESOURCES {}
1680693599279824 240443 TASK 297 WAITING default FIRST_RESOURCES {}
1680693599279848 240443 TASK 298 WAITING default FIRST_RESOURCES {}
1680693599279875 240443 TASK 299 WAITING default FIRST_RESOURCES {}
1680693599279902 240443 TASK 300 WAITING default FIRST_RESOURCES {}
1680693599279941 240443 TASK 301 WAITING default FIRST_RESOURCES {}
1680693599279963 240443 TASK 302 WAITING default FIRST_RESOURCES {}
1680693599279989 240443 TASK 303 WAITING default FIRST_RESOURCES {}
1680693599280027 240443 TASK 304 WAITING default FIRST_RESOURCES {}
1680693599280053 240443 TASK 305 WAITING default FIRST_RESOURCES {}
1680693599280077 240443 TASK 306 WAITING default FIRST_RESOURCES {}
1680693599280104 240443 TASK 307 WAITING default FIRST_RESOURCES {}
1680693599280130 240443 TASK 308 WAITING default FIRST_RESOURCES {}
1680693599280156 240443 TASK 309 WAITING default FIRST_RESOURCES {}
1680693599280180 240443 TASK 310 WAITING default FIRST_RESOURCES {}
1680693599280205 240443 TASK 311 WAITING default FIRST_RESOURCES {}
1680693599280232 240443 TASK 312 WAITING default FIRST_RESOURCES {}
1680693599280261 240443 TASK 313 WAITING default FIRST_RESOURCES {}
1680693599280285 240443 TASK 314 WAITING default FIRST_RESOURCES {}
1680693599280311 240443 TASK 315 WAITING default FIRST_RESOURCES {}
1680693599280337 240443 TASK 316 WAITING default FIRST_RESOURCES {}
1680693599280364 240443 TASK 317 WAITING default FIRST_RESOURCES {}
1680693599280387 240443 TASK 318 WAITING default FIRST_RESOURCES {}
1680693599280413 240443 TASK 319 WAITING default FIRST_RESOURCES {}
1680693599280439 240443 TASK 320 WAITING default FIRST_RESOURCES {}
1680693599280466 240443 TASK 321 WAITING default FIRST_RESOURCES {}
1680693599280490 240443 TASK 322 WAITING default FIRST_RESOURCES {}
1680693599280516 240443 TASK 323 WAITING default FIRST_RESOURCES {}
1680693599280542 240443 TASK 324 WAITING default FIRST_RESOURCES {}
1680693599280568 240443 TASK 325 WAITING default FIRST_RESOURCES {}
1680693599280592 240443 TASK 326 WAITING default FIRST_RESOURCES {}
1680693599280623 240443 TASK 327 WAITING default FIRST_RESOURCES {}
1680693599280663 240443 TASK 328 WAITING default FIRST_RESOURCES {}
1680693599280690 240443 TASK 329 WAITING default FIRST_RESOURCES {}
1680693599280715 240443 TASK 330 WAITING default FIRST_RESOURCES {}
1680693599280742 240443 TASK 331 WAITING default FIRST_RESOURCES {}
1680693599280769 240443 TASK 332 WAITING default FIRST_RESOURCES {}
1680693599280796 240443 TASK 333 WAITING default FIRST_RESOURCES {}
1680693599280820 240443 TASK 334 WAITING default FIRST_RESOURCES {}
1680693599280847 240443 TASK 335 WAITING default FIRST_RESOURCES {}
1680693599280876 240443 TASK 336 WAITING default FIRST_RESOURCES {}
1680693599280904 240443 TASK 337 WAITING default FIRST_RESOURCES {}
1680693599280928 240443 TASK 338 WAITING default FIRST_RESOURCES {}
1680693599280954 240443 TASK 339 WAITING default FIRST_RESOURCES {}
1680693599280982 240443 TASK 340 WAITING default FIRST_RESOURCES {}
1680693599281021 240443 TASK 341 WAITING default FIRST_RESOURCES {}
1680693599281044 240443 TASK 342 WAITING default FIRST_RESOURCES {}
1680693599281070 240443 TASK 343 WAITING default FIRST_RESOURCES {}
1680693599281096 240443 TASK 344 WAITING default FIRST_RESOURCES {}
1680693599281135 240443 TASK 345 WAITING default FIRST_RESOURCES {}
1680693599281172 240443 TASK 346 WAITING default FIRST_RESOURCES {}
1680693599281196 240443 TASK 347 WAITING default FIRST_RESOURCES {}
1680693599281220 240443 TASK 348 WAITING default FIRST_RESOURCES {}
1680693599281242 240443 TASK 349 WAITING default FIRST_RESOURCES {}
1680693599281266 240443 TASK 350 WAITING default FIRST_RESOURCES {}
1680693599281290 240443 TASK 351 WAITING default FIRST_RESOURCES {}
1680693599281314 240443 TASK 352 WAITING default FIRST_RESOURCES {}
1680693599281335 240443 TASK 353 WAITING default FIRST_RESOURCES {}
1680693599281359 240443 TASK 354 WAITING default FIRST_RESOURCES {}
1680693599281383 240443 TASK 355 WAITING default FIRST_RESOURCES {}
1680693599281419 240443 TASK 356 WAITING default FIRST_RESOURCES {}
1680693599281442 240443 TASK 357 WAITING default FIRST_RESOURCES {}
1680693599281470 240443 TASK 358 WAITING default FIRST_RESOURCES {}
1680693599281497 240443 TASK 359 WAITING default FIRST_RESOURCES {}
1680693599281522 240443 TASK 360 WAITING default FIRST_RESOURCES {}
1680693599281545 240443 TASK 361 WAITING default FIRST_RESOURCES {}
1680693599281570 240443 TASK 362 WAITING default FIRST_RESOURCES {}
